hospital_pk,collection_week,state,ccn,hospital_name,address,city,zip,hospital_subtype,fips_code,is_metro_micro,total_beds_7_day_avg,all_adult_hospital_beds_7_day_avg,all_adult_hospital_inpatient_beds_7_day_avg,inpatient_beds_used_7_day_avg,all_adult_hospital_inpatient_bed_occupied_7_day_avg,inpatient_beds_used_covid_7_day_avg,total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,total_adult_patients_hospitalized_confirmed_covid_7_day_avg,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,total_pediatric_patients_hospitalized_confirmed_covid_7_day_avg,inpatient_beds_7_day_avg,total_icu_beds_7_day_avg,total_staffed_adult_icu_beds_7_day_avg,icu_beds_used_7_day_avg,staffed_adult_icu_bed_occupancy_7_day_avg,staffed_icu_adult_patients_confirmed_and_suspected_covid_7_day_avg,staffed_icu_adult_patients_confirmed_covid_7_day_avg,total_patients_hospitalized_confirmed_influenza_7_day_avg,icu_patients_confirmed_influenza_7_day_avg,total_patients_hospitalized_confirmed_influenza_and_covid_7_day_avg,total_beds_7_day_sum,all_adult_hospital_beds_7_day_sum,all_adult_hospital_inpatient_beds_7_day_sum,inpatient_beds_used_7_day_sum,all_adult_hospital_inpatient_bed_occupied_7_day_sum,inpatient_beds_used_covid_7_day_sum,total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_sum,total_adult_patients_hospitalized_confirmed_covid_7_day_sum,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_7_day_sum,total_pediatric_patients_hospitalized_confirmed_covid_7_day_sum,inpatient_beds_7_day_sum,total_icu_beds_7_day_sum,total_staffed_adult_icu_beds_7_day_sum,icu_beds_used_7_day_sum,staffed_adult_icu_bed_occupancy_7_day_sum,staffed_icu_adult_patients_confirmed_and_suspected_covid_7_day_sum,staffed_icu_adult_patients_confirmed_covid_7_day_sum,total_patients_hospitalized_confirmed_influenza_7_day_sum,icu_patients_confirmed_influenza_7_day_sum,total_patients_hospitalized_confirmed_influenza_and_covid_7_day_sum,total_beds_7_day_coverage,all_adult_hospital_beds_7_day_coverage,all_adult_hospital_inpatient_beds_7_day_coverage,inpatient_beds_used_7_day_coverage,all_adult_hospital_inpatient_bed_occupied_7_day_coverage,inpatient_beds_used_covid_7_day_coverage,total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_coverage,total_adult_patients_hospitalized_confirmed_covid_7_day_coverage,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_7_day_coverage,total_pediatric_patients_hospitalized_confirmed_covid_7_day_coverage,inpatient_beds_7_day_coverage,total_icu_beds_7_day_coverage,total_staffed_adult_icu_beds_7_day_coverage,icu_beds_used_7_day_coverage,staffed_adult_icu_bed_occupancy_7_day_coverage,staffed_icu_adult_patients_confirmed_and_suspected_covid_7_day_coverage,staffed_icu_adult_patients_confirmed_covid_7_day_coverage,total_patients_hospitalized_confirmed_influenza_7_day_coverage,icu_patients_confirmed_influenza_7_day_coverage,total_patients_hospitalized_confirmed_influenza_and_covid_7_day_coverage,previous_day_admission_adult_covid_confirmed_7_day_sum,previous_day_admission_adult_covid_confirmed_18-19_7_day_sum,previous_day_admission_adult_covid_confirmed_20-29_7_day_sum,previous_day_admission_adult_covid_confirmed_30-39_7_day_sum,previous_day_admission_adult_covid_confirmed_40-49_7_day_sum,previous_day_admission_adult_covid_confirmed_50-59_7_day_sum,previous_day_admission_adult_covid_confirmed_60-69_7_day_sum,previous_day_admission_adult_covid_confirmed_70-79_7_day_sum,previous_day_admission_adult_covid_confirmed_80+_7_day_sum,previous_day_admission_adult_covid_confirmed_unknown_7_day_sum,previous_day_admission_pediatric_covid_confirmed_7_day_sum,previous_day_covid_ED_visits_7_day_sum,previous_day_admission_adult_covid_suspected_7_day_sum,previous_day_admission_adult_covid_suspected_18-19_7_day_sum,previous_day_admission_adult_covid_suspected_20-29_7_day_sum,previous_day_admission_adult_covid_suspected_30-39_7_day_sum,previous_day_admission_adult_covid_suspected_40-49_7_day_sum,previous_day_admission_adult_covid_suspected_50-59_7_day_sum,previous_day_admission_adult_covid_suspected_60-69_7_day_sum,previous_day_admission_adult_covid_suspected_70-79_7_day_sum,previous_day_admission_adult_covid_suspected_80+_7_day_sum,previous_day_admission_adult_covid_suspected_unknown_7_day_sum,previous_day_admission_pediatric_covid_suspected_7_day_sum,previous_day_total_ED_visits_7_day_sum,previous_day_admission_influenza_confirmed_7_day_sum,geocoded_hospital_address,hhs_ids,previous_day_admission_adult_covid_confirmed_7_day_coverage,previous_day_admission_pediatric_covid_confirmed_7_day_coverage,previous_day_admission_adult_covid_suspected_7_day_coverage,previous_day_admission_pediatric_covid_suspected_7_day_coverage,previous_week_personnel_covid_vaccinated_doses_administered_7_day,total_personnel_covid_vaccinated_doses_none_7_day,total_personnel_covid_vaccinated_doses_one_7_day,total_personnel_covid_vaccinated_doses_all_7_day,previous_week_patients_covid_vaccinated_doses_one_7_day,previous_week_patients_covid_vaccinated_doses_all_7_day,is_corrected
451366,2022/01/21,TX,451366,COCHRAN MEMORIAL HOSPITAL,205 E GRANT STREET,MORTON,79346,Critical Access Hospitals,48079,false,22,22,20,0,0,0,0,0,0,0,20,0,0,0,0,0,0,,,,154,154,140,0,0,0,0,0,0,0,140,0,0,0,0,0,0,,,,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-999999,0,0,0,0,0,0,0,0,0,0,0,-999999,,POINT (-102.758075 33.719294),[C451366-A],7,7,7,7,,,,,,,false
400125,2021/06/18,PR,400125,HIMA-SAN PABLO FAJARDO,GENERAL VALERO AVE#404,FAJARDO,00738,Short Term,72053,true,221,130,130,37.4,37.4,0,0,0,0,0,146,11.9,10,9.9,9.3,0,0,0,0,0,1547,910,910,262,262,0,0,0,0,0,1022,83,70,69,65,0,0,0,0,0,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,0,0,0,0,0,0,0,0,0,0,0,151,0,0,0,0,0,0,0,0,0,0,0,278,0,,[C400125-A],7,7,7,7,,,,,,,false
140103,2021/01/22,IL,140103,ST BERNARD HOSPITAL,326 W 64TH ST,CHICAGO,60621,Short Term,17031,true,196,196,90,69.4,68.7,11.3,11.3,7.4,0,0,90,10,10,9.4,9.4,-999999,-999999,0,0,0,1372,1372,630,486,481,79,79,52,0,0,630,70,70,66,66,18,16,0,0,0,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,0,0,0,0,0,0,0,0,0,0,0,20,21,0,0,0,0,0,11,10,0,0,0,553,0,POINT (-87.633273 41.778114),[C140103-A],7,7,7,7,120,400,385,68,54,0,false
421301,2021/11/26,SC,421301,ABBEVILLE AREA MEDICAL CENTER,420 THOMSON CIRCLE,ABBEVILLE,29620,Critical Access Hospitals,45001,false,18,18,18,9.9,9.9,-999999,-999999,-999999,0,0,18,6,6,-999999,-999999,0,0,0,0,0,126,126,126,69,69,7,7,7,0,0,126,42,42,6,5,0,0,0,0,0,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,-999999,0,0,0,0,0,-999999,-999999,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,291,0,POINT (-82.380191 34.156135),[C421301-A],7,7,7,7,5,79,291,318,0,0,false
650003,2021/02/05,GU,650003,GUAM REGIONAL MEDICAL CITY,133 ROUTE 3,DEDEDO,96929,Short Term,66010,false,132,132,116,89.1,89.1,5.7,5.7,-999999,0,0,116,11,11,7.1,7.1,0,0,0,0,0,924,924,812,624,624,40,40,17,0,0,812,77,77,50,50,0,0,0,0,0,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,0,0,0,0,0,0,0,0,0,0,0,27,70,-999999,-999999,11,7,17,15,12,5,0,0,255,0,,[C650003-A],7,7,7,7,,,,,,,false
452042,2021/01/15,TX,452042,CHRISTUS DUBUIS HOSPITAL OF BEAUMONT,2830 CALDER AVENUE 4TH FLOOR,BEAUMONT,77702,Long Term,48245,true,24.1,24.1,24.1,24.1,24.1,-999999,-999999,-999999,0,0,24.1,0,0,0,0,0,0,0,0,-999999,169,169,169,169,169,5,5,5,0,0,169,0,0,0,0,0,0,0,0,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,POINT (-94.131766 30.085582),[C452042-A],7,7,7,7,,,,,,,false
050152,2020/07/31,CA,050152,SAINT FRANCIS MEMORIAL HOSPITAL,900 HYDE ST,SAN FRANCISCO,94109,Short Term,06075,true,166,156.6,108,61.6,61.6,-999999,-999999,-999999,0,0,108,16.7,16.7,6.1,6.1,-999999,-999999,,,,1162,1096,756,431,431,19,19,19,0,0,756,117,117,43,43,13,13,,,,7,7,7,7,7,7,7,6,7,6,7,7,7,7,7,7,6,0,0,0,-999999,0,0,0,-999999,0,0,0,-999999,0,0,58,-999999,0,0,0,0,0,0,-999999,0,0,0,318,,POINT (-122.417112 37.789561),[C050152-A],7,7,7,7,,,,,,,false
440009,2020/10/16,TN,440009,CUMBERLAND MEDICAL CENTER,421 S MAIN ST,CROSSVILLE,38555,Short Term,47035,true,146,128,97,77.1,77.1,22.7,22.7,20.6,0,0,115,12,12,10.6,10.6,6.3,6,0,0,0,1022,896,679,540,540,159,159,144,0,0,805,84,84,74,74,44,42,0,0,0,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,3,3,3,15,0,0,0,0,0,0,0,0,15,0,63,27,0,0,0,0,0,0,0,0,27,0,515,0,POINT (-85.023065 35.942801),[C440009-A],7,7,7,7,,,,,,,false
062017,2020/10/23,CO,062017,NORTHERN COLORADO LONG TERM ACUTE HOSP - LONG TERM,4401A UNION ST,JOHNSTOWN,80534,Long Term,08069,true,20,20,20,14.9,14.9,0,0,0,0,0,20,-999999,-999999,-999999,-999999,0,0,0,0,0,140,140,140,104,104,0,0,0,0,0,140,6,6,6,6,0,0,0,0,0,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,POINT (-104.971293 40.405436),[C062017-A],7,7,7,7,,,,,,,false
240018,2021/11/05,MN,240018,MAYO CLINIC HEALTH SYSTEM - RED WING,701 HEWITT BOULEVARD,RED WING,55066,Short Term,27049,true,50,50,26,16.6,16.6,-999999,-999999,-999999,0,0,26,0,0,0,0,0,0,0,0,0,350,350,182,116,116,25,25,24,0,0,182,0,0,0,0,0,0,0,0,0,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,0,0,-999999,0,-999999,0,4,-999999,0,0,86,-999999,0,-999999,0,0,0,0,0,0,0,0,311,0,POINT (-92.575197 44.560285),[C240018-A],7,7,7,7,,,,,,,false
420078,2021/04/23,SC,420078,PRISMA HEALTH GREENVILLE MEMORIAL HOSPITAL,701 GROVE ROAD,GREENVILLE,29605,Short Term,45045,true,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,POINT (-82.41359 34.821617),[C420078-A],7,7,7,7,,,,,,,false
151327,2021/04/30,IN,151327,SULLIVAN COUNTY COMMUNITY HOSPITAL,2200 N SECTION ST,SULLIVAN,47882,Critical Access Hospitals,18153,true,40,40,40,14.3,14.3,-999999,-999999,-999999,0,0,40,4,4,-999999,-999999,0,0,0,0,0,280,280,280,100,100,9,9,9,0,0,280,28,28,6,6,0,0,0,0,0,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,-999999,0,0,0,0,-999999,-999999,-999999,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,161,0,POINT (-87.409081 39.126314),[C151327-A],7,7,7,7,0,0,0,0,0,0,false
110045,2022/02/04,GA,110045,NORTHEAST GEORGIA MEDICAL CENTER BARROW,316 NORTH BROAD STREET,WINDER,30680,Short Term,13013,true,55,55,45,33,28.9,14.6,14.6,14.6,0,0,45,0,0,0,0,0,0,0,0,0,385,385,315,231,202,102,102,102,0,0,315,0,0,0,0,0,0,0,0,0,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,0,0,0,0,0,-999999,-999999,-999999,0,0,24,4,0,0,0,0,0,0,-999999,-999999,0,0,366,0,POINT (-83.706713 34.008069),[C110045-A],7,4,7,4,0,0,0,0,0,0,false
210032,2022/01/14,MD,210032,UNION HOSPITAL OF CECIL COUNTY,106 BOW STREET,ELKTON,21921,Short Term,24015,true,123.9,123.9,106.1,90.4,90.4,36.6,36.6,36.3,0,0,106.1,9.9,9.9,8,8,-999999,-999999,0,0,0,867,867,743,633,633,256,256,254,0,0,743,69,69,56,56,23,23,0,0,0,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,13,0,-999999,0,-999999,-999999,6,-999999,-999999,0,0,142,60,0,0,5,7,6,20,18,4,0,0,588,0,POINT (-75.831076 39.60836),[C210032-A],7,7,7,7,,,,,,,false
500025,2020/10/23,WA,500025,SWEDISH MEDICAL CENTER / CHERRY HILL,500 17TH AVENUE,SEATTLE,98122,Short Term,53033,true,185,185,168.3,157.6,157.6,-999999,-999999,0,0,0,168.3,36.3,36.3,26.1,26.1,-999999,0,0,0,0,1295,1295,1010,1103,1103,9,9,0,0,0,1010,254,254,183,183,-999999,0,0,0,0,7,7,6,7,7,7,7,7,7,7,6,7,7,7,7,7,7,2,2,2,-999999,0,0,0,0,0,-999999,0,0,0,0,15,6,0,0,0,-999999,0,-999999,-999999,-999999,0,0,338,0,POINT (-122.310247 47.606221),[C500025-A],7,7,7,7,,,,,,,false
361331,2021/06/25,OH,361331,ADENA FAYETTE MEDICAL CENTER,1430 COLUMBUS AVENUE,WASHINGTON CH,43160,Critical Access Hospitals,39047,true,25,25,25,15.7,15.7,-999999,-999999,-999999,0,0,25,6,6,-999999,-999999,0,0,0,0,0,175,175,175,110,110,5,5,5,0,0,175,42,42,16,16,0,0,0,0,0,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,276,0,POINT (-83.425478 39.548262),[C361331-A],7,7,7,7,0,126,0,190,0,0,false
450775,2020/12/11,TX,450775,HCA HOUSTON HEALTHCARE KINGWOOD,22999 US HWY 59,KINGWOOD,77325,Short Term,48201,true,659,629,567,484.1,469.3,88,87.7,76.3,-999999,0,597,101.1,78,89.3,76.9,15,13.3,-999999,0,-999999,4613,4403,3969,3389,3285,616,614,534,-999999,0,4179,708,546,625,538,105,93,4,0,-999999,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,81,0,-999999,8,12,17,13,17,12,0,0,276,44,0,4,6,4,7,12,7,4,0,-999999,2061,0,,"[C450775-C, C450775-B, C450775-A]",7,7,7,7,,,,,,,false
280003,2022/02/25,NE,280003,BRYAN MEDICAL CENTER,1600 SOUTH 48TH ST,LINCOLN,68506,Short Term,31109,true,698,596,463.7,462.6,414.7,37.7,36.9,28.4,-999999,-999999,565.7,80,50,63.3,44.6,-999999,-999999,-999999,0,0,4886,4172,3246,3238,2903,264,258,199,6,-999999,3960,560,350,443,312,25,21,7,0,0,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,15,0,-999999,0,-999999,-999999,-999999,6,-999999,0,-999999,210,45,-999999,5,9,-999999,8,6,-999999,10,0,4,1697,-999999,POINT (-96.653662 40.796556),"[C280003-B, C280003-A]",7,7,7,7,,,,,,,false
240141,2020/08/28,MN,240141,M HEALTH FAIRVIEW NORTHLAND MEDICAL CENTER,911 NORTHLAND DR,PRINCETON,55371,Short Term,27141,true,43.6,38.6,21.6,15.3,14,-999999,-999999,0,-999999,0,26.6,-999999,-999999,-999999,-999999,-999999,0,,,,305,270,151,107,98,11,10,0,-999999,0,186,16,16,15,15,-999999,0,,,,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,6,0,0,0,0,-999999,-999999,-999999,-999999,0,0,343,,POINT (-93.588543 45.558413),[C240141-A],7,6,7,6,,,,,,,false
